"","V1","V2","V3","V4","V5","V6"
"829",760,15,33,38,42,NA
"830",761,27,28,NA,NA,NA
"831",762,16,32,45,NA,NA
"832",763,18,27,28,NA,NA
"833",764,23,25,44,NA,NA
"834",765,2,46,NA,NA,NA
"835",766,2,17,18,34,38
"836",767,1,19,NA,NA,NA
"837",768,4,7,9,15,20
"838",40,47,NA,NA,NA,NA
"839",769,27,28,37,NA,NA
"840",770,10,18,22,24,NA
"841",771,0,2,46,NA,NA
"842",772,7,33,38,39,43
"843",773,7,15,49,NA,NA
"844",774,4,9,32,NA,NA
"845",775,0,46,NA,NA,NA
"846",776,0,2,46,NA,NA
"847",777,13,20,NA,NA,NA
"848",778,2,12,23,29,33
"849",42,48,NA,NA,NA,NA
"850",779,4,9,48,NA,NA
"851",780,1,19,NA,NA,NA
"852",781,3,38,40,45,NA
"853",782,5,17,29,47,NA
"854",783,0,4,28,38,NA
"855",784,0,14,34,44,NA
"856",785,7,15,NA,NA,NA
"857",786,3,14,20,25,NA
"858",787,10,30,35,NA,NA
"859",788,17,29,47,NA,NA
"860",789,7,11,37,45,NA
"861",790,7,15,29,49,NA
"862",791,11,15,19,23,33
"863",42,44,46,NA,NA,NA
"864",792,13,33,42,NA,NA
"865",793,4,9,NA,NA,NA
"866",794,0,26,30,NA,NA
"867",795,16,NA,NA,NA,NA
"868",796,14,NA,NA,NA,NA
"869",797,4,5,33,43,NA
"870",798,7,10,31,NA,NA
"871",799,26,49,NA,NA,NA
"872",800,4,18,27,33,NA
"873",801,10,16,NA,NA,NA
"874",802,3,9,12,27,NA
"875",803,14,44,46,NA,NA
"876",804,22,30,31,NA,NA
"877",805,0,46,NA,NA,NA
"878",806,11,16,26,27,28
"879",31,NA,NA,NA,NA,NA
"880",807,5,22,NA,NA,NA
"881",808,5,7,17,22,34
"882",39,40,45,NA,NA,NA
"883",809,1,19,NA,NA,NA
"884",810,7,11,37,45,NA
"885",811,7,11,37,45,NA
"886",812,2,3,18,23,24
"887",34,35,NA,NA,NA,NA
"888",813,16,32,45,NA,NA
"889",814,23,24,40,41,43
"890",815,42,NA,NA,NA,NA
"891",816,18,29,34,44,NA
"892",817,33,36,NA,NA,NA
"893",818,3,14,48,NA,NA
"894",819,3,18,35,NA,NA
"895",820,5,22,NA,NA,NA
"896",821,16,32,45,NA,NA
"897",822,18,35,NA,NA,NA
"898",823,17,29,47,NA,NA
"899",824,15,20,32,NA,NA
"900",825,4,9,16,34,35
"901",826,7,15,19,22,49
"902",827,3,20,27,41,46
"903",828,15,38,NA,NA,NA
"904",829,2,3,NA,NA,NA
"905",830,0,2,46,NA,NA
"906",831,4,10,37,38,41
"907",832,9,13,36,42,NA
"908",833,1,3,18,22,35
"909",834,2,27,45,NA,NA
"910",835,12,31,36,48,NA
"911",836,33,42,NA,NA,NA
"912",837,14,17,25,32,39
"913",838,8,27,NA,NA,NA
"914",839,16,32,45,NA,NA
"915",840,3,18,35,41,NA
"916",841,17,33,34,42,NA
"917",842,4,9,30,NA,NA
"918",843,3,7,18,35,NA
"919",844,23,24,40,41,43
"920",845,4,19,32,NA,NA
"921",846,6,10,17,NA,NA
"922",847,0,1,46,48,NA
"923",848,8,25,29,39,NA
"924",849,39,NA,NA,NA,NA
"925",850,1,5,43,NA,NA
"926",851,49,NA,NA,NA,NA
"927",852,14,20,30,46,NA
"928",853,14,19,24,29,33
"929",34,47,49,NA,NA,NA
"930",854,3,18,35,NA,NA
"931",855,0,2,32,37,38
"932",42,NA,NA,NA,NA,NA
"933",856,7,11,25,NA,NA
"934",857,3,33,42,NA,NA
"935",858,5,22,49,NA,NA
"936",859,29,42,NA,NA,NA
"937",860,5,8,22,32,45
"938",861,33,46,NA,NA,NA
"939",862,16,32,45,NA,NA
"940",863,34,43,NA,NA,NA
"941",864,9,15,45,NA,NA
"942",865,2,6,25,29,NA
"943",866,18,43,44,NA,NA
"944",867,5,7,11,27,37
"945",45,NA,NA,NA,NA,NA
"946",868,7,15,49,NA,NA
"947",869,8,18,35,48,NA
"948",870,7,11,37,45,NA
"949",871,20,28,34,NA,NA
"950",872,3,18,35,NA,NA
"951",873,6,42,NA,NA,NA
"952",874,4,9,10,NA,NA
"953",875,7,16,30,33,NA
"954",876,5,22,NA,NA,NA
"955",877,16,22,NA,NA,NA
"956",878,22,37,44,NA,NA
"957",879,42,NA,NA,NA,NA
"958",880,0,2,46,NA,NA
"959",881,0,2,46,NA,NA
"960",882,17,29,47,NA,NA
"961",883,0,17,29,NA,NA
"962",884,5,13,21,22,NA
"963",885,23,24,40,41,43
"964",886,16,32,45,NA,NA
"965",887,10,29,NA,NA,NA
"966",888,4,16,25,30,41
"967",43,44,NA,NA,NA,NA
"968",889,3,18,35,NA,NA
"969",890,7,15,20,37,48
"970",49,NA,NA,NA,NA,NA
"971",891,17,44,NA,NA,NA
"972",892,5,17,22,NA,NA
"973",893,4,5,13,25,NA
"974",894,23,24,40,41,43
"975",895,23,24,40,41,43
"976",896,10,21,26,36,NA
"977",897,15,22,27,30,NA
"978",898,19,28,NA,NA,NA
"979",899,3,18,35,NA,NA
"980",900,12,31,33,36,49
"981",901,14,15,29,NA,NA
"982",902,42,NA,NA,NA,NA
"983",903,5,22,44,NA,NA
"984",904,12,31,36,NA,NA
"985",905,7,11,19,37,45
"986",47,NA,NA,NA,NA,NA
"987",906,1,4,15,19,NA
"988",907,1,7,15,49,NA
"989",908,19,34,NA,NA,NA
"990",909,3,18,25,46,NA
"991",910,33,47,NA,NA,NA
"992",911,17,29,47,NA,NA
"993",912,8,32,38,NA,NA
"994",913,13,15,37,NA,NA
"995",914,5,22,NA,NA,NA
"996",915,4,6,9,35,NA
"997",916,27,28,NA,NA,NA
"998",917,7,11,37,45,NA
"999",918,25,30,45,NA,NA
"1000",919,6,8,NA,NA,NA
"1001",920,29,37,38,42,47
"1002",921,17,29,47,NA,NA
"1003",922,20,43,NA,NA,NA
"1004",923,9,34,46,NA,NA
"1005",924,4,46,48,NA,NA
"1006",925,2,18,22,35,NA
"1007",926,15,42,NA,NA,NA
"1008",927,0,2,7,27,46
"1009",48,NA,NA,NA,NA,NA
"1010",928,7,11,37,45,NA
"1011",929,30,32,49,NA,NA
"1012",930,17,29,47,NA,NA
"1013",931,4,NA,NA,NA,NA
"1014",932,12,31,36,48,NA
"1015",933,4,32,47,NA,NA
"1016",934,0,34,NA,NA,NA
"1017",935,8,10,11,37,38
"1018",42,46,NA,NA,NA,NA
"1019",936,4,9,17,NA,NA
"1020",937,14,44,NA,NA,NA
"1021",938,13,NA,NA,NA,NA
"1022",939,0,13,46,NA,NA
"1023",940,1,18,25,26,33
"1024",941,3,18,19,27,28
"1025",39,46,NA,NA,NA,NA
"1026",942,5,11,16,28,38
"1027",49,NA,NA,NA,NA,NA
"1028",943,3,18,35,NA,NA
"1029",944,2,14,44,NA,NA
"1030",945,1,2,25,31,33
"1031",34,NA,NA,NA,NA,NA
"1032",946,45,NA,NA,NA,NA
"1033",947,4,9,NA,NA,NA
"1034",948,12,27,28,NA,NA
"1035",949,3,18,26,35,NA
"1036",950,1,3,16,48,NA
"1037",951,30,36,40,NA,NA
"1038",952,5,7,19,22,NA
"1039",953,19,32,34,43,NA
"1040",954,5,22,41,47,NA
"1041",955,0,7,15,49,NA
"1042",956,5,NA,NA,NA,NA
"1043",957,7,15,49,NA,NA
"1044",958,4,9,12,30,36
"1045",959,5,8,22,36,NA
"1046",960,12,31,36,48,NA
"1047",961,3,18,27,35,NA
"1048",962,12,31,36,48,NA
"1049",963,7,11,37,45,NA
"1050",964,15,27,28,NA,NA
"1051",965,24,36,38,42,NA
"1052",966,7,11,26,37,45
"1053",967,3,6,30,NA,NA
"1054",968,1,19,NA,NA,NA
"1055",969,0,2,46,NA,NA
"1056",970,3,15,28,30,32
"1057",971,2,9,17,20,NA
"1058",972,9,NA,NA,NA,NA
"1059",973,6,17,47,48,NA
"1060",974,4,16,32,45,NA
"1061",975,3,12,NA,NA,NA
"1062",976,33,42,NA,NA,NA
"1063",977,7,22,33,38,41
"1064",43,NA,NA,NA,NA,NA
"1065",978,14,44,NA,NA,NA
"1066",979,12,31,36,48,NA
"1067",980,20,30,31,33,37
"1068",981,13,17,41,49,NA
"1069",982,1,5,6,29,34
"1070",37,NA,NA,NA,NA,NA
"1071",983,10,14,36,37,44
"1072",984,3,5,25,NA,NA
"1073",985,0,46,NA,NA,NA
"1074",986,27,28,NA,NA,NA
"1075",987,5,22,28,33,35
"1076",39,NA,NA,NA,NA,NA
"1077",988,21,26,38,45,48
"1078",989,17,29,47,NA,NA
"1079",990,4,9,33,38,43
"1080",991,17,23,26,NA,NA
"1081",992,18,19,23,24,40
"1082",993,4,6,9,23,NA
"1083",994,5,19,35,39,41
"1084",43,47,49,NA,NA,NA
"1085",995,15,33,42,NA,NA
"1086",996,0,10,13,25,33
"1087",39,42,NA,NA,NA,NA
"1088",997,0,39,NA,NA,NA
"1089",998,17,29,47,NA,NA
"1090",999,8,30,41,NA,NA
"1091",1000,17,18,31,NA,NA
"1092",1001,12,31,36,48,NA
"1093",1002,5,18,22,27,31
"1094",1003,29,44,NA,NA,NA
"1095",1004,15,27,NA,NA,NA
"1096",1005,1,17,42,46,49
"1097",1006,13,27,29,30,32
"1098",34,35,NA,NA,NA,NA
"1099",1007,1,15,18,34,42
"1100",49,NA,NA,NA,NA,NA
"1101",1008,3,18,35,NA,NA
"1102",1009,8,40,44,47,49
"1103",1010,22,42,46,NA,NA
"1104",1011,15,30,NA,NA,NA
"1105",1012,16,32,45,NA,NA
"1106",1013,41,NA,NA,NA,NA
"1107",1014,0,4,9,13,29
"1108",1015,16,32,39,45,NA
"1109",1016,3,18,35,NA,NA
"1110",1017,1,14,NA,NA,NA
"1111",1018,24,29,49,NA,NA
"1112",1019,1,19,NA,NA,NA
"1113",1020,7,15,49,NA,NA
"1114",1021,16,32,45,NA,NA
"1115",1022,4,9,NA,NA,NA
"1116",1023,10,17,28,36,NA
"1117",1024,23,24,40,41,43
"1118",1025,5,22,NA,NA,NA
"1119",1026,16,32,37,48,NA
"1120",1027,24,27,33,42,43
"1121",1028,18,32,35,NA,NA
"1122",1029,1,30,32,41,43
"1123",1030,16,17,30,42,43
"1124",1031,1,5,7,19,27
"1125",33,40,43,NA,NA,NA
"1126",1032,17,29,47,NA,NA
"1127",1033,21,22,27,39,NA
"1128",1034,10,NA,NA,NA,NA
"1129",1035,5,22,29,48,NA
"1130",1036,0,28,35,36,42
"1131",1037,7,11,15,33,34
"1132",38,46,49,NA,NA,NA
"1133",1038,33,42,NA,NA,NA
"1134",1039,33,42,NA,NA,NA
"1135",1040,4,9,13,NA,NA
"1136",1041,5,20,30,49,NA
"1137",1042,10,11,13,22,25
"1138",28,45,48,NA,NA,NA
"1139",1043,3,18,24,25,31
"1140",35,NA,NA,NA,NA,NA
"1141",1044,0,14,17,37,47
"1142",1045,2,43,44,46,NA
"1143",1046,18,33,42,NA,NA
"1144",1047,6,7,8,11,12
"1145",26,28,39,NA,NA,NA
"1146",1048,29,NA,NA,NA,NA
"1147",1049,19,NA,NA,NA,NA
"1148",1050,5,36,41,NA,NA
"1149",1051,4,21,NA,NA,NA
"1150",1052,2,4,15,NA,NA
"1151",1053,7,15,49,NA,NA
"1152",1054,3,7,11,18,25
"1153",37,44,48,NA,NA,NA
"1154",1055,15,41,44,49,NA
"1155",1056,3,5,33,NA,NA
"1156",1057,5,22,23,NA,NA
"1157",1058,19,29,NA,NA,NA
"1158",1059,15,20,29,43,48
"1159",1060,1,3,9,18,30
"1160",1061,33,NA,NA,NA,NA
"1161",1062,17,21,44,NA,NA
"1162",1063,27,28,NA,NA,NA
"1163",1064,11,19,26,NA,NA
"1164",1065,0,2,46,NA,NA
"1165",1066,17,29,47,NA,NA
"1166",1067,0,2,22,46,NA
"1167",1068,16,32,NA,NA,NA
"1168",1069,13,22,23,NA,NA
"1169",1070,8,27,28,41,NA
"1170",1071,3,18,35,NA,NA
"1171",1072,14,28,42,NA,NA
"1172",1073,8,13,18,NA,NA
"1173",1074,2,14,42,NA,NA
"1174",1075,0,14,NA,NA,NA
"1175",1076,7,15,49,NA,NA
"1176",1077,17,29,47,NA,NA
"1177",1078,7,15,NA,NA,NA
"1178",1079,7,16,24,26,32
"1179",41,NA,NA,NA,NA,NA
"1180",1080,0,2,46,NA,NA
"1181",1081,14,44,NA,NA,NA
"1182",1082,7,11,37,45,NA
"1183",1083,3,18,35,NA,NA
"1184",1084,16,32,45,NA,NA
"1185",1085,1,19,24,NA,NA
"1186",1086,9,11,14,19,30
"1187",41,NA,NA,NA,NA,NA
"1188",1087,17,29,47,NA,NA
"1189",1088,14,32,44,NA,NA
"1190",1089,4,9,40,NA,NA
"1191",1090,30,NA,NA,NA,NA
"1192",1091,7,23,24,25,29
"1193",1092,3,11,12,NA,NA
"1194",1093,18,34,NA,NA,NA
"1195",1094,7,15,49,NA,NA
"1196",1095,1,19,NA,NA,NA
"1197",1096,22,47,NA,NA,NA
"1198",1097,3,18,24,26,30
"1199",35,NA,NA,NA,NA,NA
"1200",1098,1,2,12,19,41
"1201",1099,1,13,20,31,NA
"1202",1100,5,22,36,NA,NA
"1203",1101,3,18,35,NA,NA
"1204",1102,10,13,35,48,NA
"1205",1103,25,45,NA,NA,NA
"1206",1104,0,2,3,25,46
"1207",1105,1,19,44,49,NA
"1208",1106,16,32,45,NA,NA
"1209",1107,23,24,40,41,43
"1210",1108,28,29,NA,NA,NA
"1211",1109,2,4,17,29,47
"1212",1110,7,11,37,45,NA
"1213",1111,44,NA,NA,NA,NA
"1214",1112,9,NA,NA,NA,NA
"1215",1113,1,19,NA,NA,NA
"1216",1114,3,10,22,35,38
"1217",1115,12,31,36,48,NA
"1218",1116,5,22,26,43,NA
"1219",1117,4,31,32,NA,NA
"1220",1118,0,4,7,28,NA
"1221",1119,5,22,36,NA,NA
"1222",1120,1,3,4,18,26
"1223",35,NA,NA,NA,NA,NA
"1224",1121,0,2,46,NA,NA
"1225",1122,3,10,18,35,NA
"1226",1123,1,19,34,NA,NA
"1227",1124,0,2,46,NA,NA
"1228",1125,0,13,21,35,45
"1229",1126,17,43,NA,NA,NA
"1230",1127,1,19,NA,NA,NA
"1231",1128,27,28,NA,NA,NA
"1232",1129,16,32,45,NA,NA
"1233",1130,36,45,NA,NA,NA
"1234",1131,3,6,46,NA,NA
"1235",1132,33,41,42,NA,NA
"1236",1133,14,44,NA,NA,NA
"1237",1134,3,18,35,NA,NA
"1238",1135,7,11,26,37,45
"1239",1136,6,16,37,NA,NA
"1240",1137,7,36,42,NA,NA
"1241",1138,23,24,40,41,43
"1242",1139,0,13,23,46,NA
"1243",1140,3,4,30,34,NA
"1244",1141,27,NA,NA,NA,NA
"1245",1142,3,4,23,32,NA
"1246",1143,17,29,47,NA,NA
"1247",1144,23,24,40,41,43
"1248",1145,23,36,NA,NA,NA
"1249",1146,7,11,37,45,NA
"1250",1147,28,48,NA,NA,NA
"1251",1148,6,14,38,44,47
"1252",1149,24,28,39,NA,NA
"1253",1150,11,23,24,40,41
"1254",1151,23,24,37,40,41
"1255",43,NA,NA,NA,NA,NA
"1256",1152,4,21,26,40,48
"1257",1153,6,16,32,34,42
"1258",1154,3,17,28,NA,NA
"1259",1155,8,10,36,NA,NA
"1260",1156,37,43,NA,NA,NA
"1261",1157,8,15,21,33,42
"1262",1158,3,8,18,30,35
"1263",49,NA,NA,NA,NA,NA
"1264",1159,1,12,19,23,33
"1265",42,NA,NA,NA,NA,NA
"1266",1160,4,9,NA,NA,NA
"1267",1161,10,25,30,NA,NA
"1268",1162,0,2,46,NA,NA
"1269",1163,0,31,37,NA,NA
"1270",1164,22,23,40,NA,NA
"1271",1165,4,9,NA,NA,NA
"1272",1166,7,15,39,49,NA
"1273",1167,0,2,46,NA,NA
"1274",1168,0,4,12,NA,NA
"1275",1169,7,11,37,45,NA
"1276",1170,16,32,45,NA,NA
"1277",1171,7,11,37,NA,NA
"1278",1172,7,19,21,41,NA
"1279",1173,1,31,NA,NA,NA
"1280",1174,4,28,36,42,NA
"1281",1175,9,24,32,42,NA
"1282",1176,21,23,42,NA,NA
"1283",1177,14,16,19,24,25
"1284",44,NA,NA,NA,NA,NA
"1285",1178,33,42,NA,NA,NA
"1286",1179,27,28,39,47,NA
"1287",1180,3,18,35,NA,NA
"1288",1181,3,5,41,42,NA
"1289",1182,15,22,34,48,NA
"1290",1183,31,49,NA,NA,NA
"1291",1184,20,30,NA,NA,NA
"1292",1185,29,33,39,NA,NA
"1293",1186,1,9,38,NA,NA
"1294",1187,0,2,19,46,NA
"1295",1188,10,14,20,NA,NA
"1296",1189,19,23,25,45,49
"1297",1190,33,42,NA,NA,NA
"1298",1191,8,11,15,32,46
"1299",1192,2,27,39,NA,NA
"1300",1193,4,10,23,NA,NA
"1301",1194,2,4,8,25,NA
"1302",1195,5,22,35,NA,NA
"1303",1196,0,2,46,NA,NA
"1304",1197,18,NA,NA,NA,NA
"1305",1198,0,12,17,31,34
"1306",44,NA,NA,NA,NA,NA
"1307",1199,2,3,18,35,NA
"1308",1200,23,24,40,41,43
"1309",1201,0,4,15,16,25
"1310",26,37,NA,NA,NA,NA
"1311",1202,0,17,23,29,46
"1312",1203,25,46,NA,NA,NA
"1313",1204,9,13,31,NA,NA
"1314",1205,4,9,23,30,NA
"1315",1206,3,18,35,NA,NA
"1316",1207,3,24,42,48,NA
"1317",1208,5,22,NA,NA,NA
"1318",1209,3,18,35,NA,NA
"1319",1210,14,44,NA,NA,NA
"1320",1211,0,2,46,NA,NA
"1321",1212,5,16,31,32,NA
"1322",1213,0,2,5,21,46
"1323",1214,27,28,NA,NA,NA
"1324",1215,0,46,NA,NA,NA
"1325",1216,7,11,37,45,NA
"1326",1217,17,29,47,NA,NA
"1327",1218,17,29,47,NA,NA
"1328",1219,2,9,13,18,22
"1329",36,45,NA,NA,NA,NA
"1330",1220,26,27,28,30,NA
"1331",1221,0,5,8,9,11
"1332",25,NA,NA,NA,NA,NA
"1333",1222,5,22,28,NA,NA
"1334",1223,17,19,NA,NA,NA
"1335",1224,26,40,47,NA,NA
"1336",1225,2,6,9,38,46
"1337",1226,0,4,27,NA,NA
"1338",1227,16,27,28,36,39
"1339",1228,7,15,20,25,NA
"1340",1229,12,29,31,36,46
"1341",48,NA,NA,NA,NA,NA
"1342",1230,17,29,45,47,NA
"1343",1231,12,17,31,36,48
"1344",1232,11,48,NA,NA,NA
"1345",1233,11,19,28,32,NA
"1346",1234,12,31,36,48,NA
"1347",1235,41,47,49,NA,NA
"1348",1236,5,22,NA,NA,NA
"1349",1237,14,44,NA,NA,NA
"1350",1238,33,42,NA,NA,NA
"1351",1239,0,46,NA,NA,NA
"1352",1240,7,15,49,NA,NA
"1353",1241,1,38,NA,NA,NA
"1354",1242,0,15,21,28,35
"1355",36,NA,NA,NA,NA,NA
"1356",1243,14,21,29,30,44
"1357",1244,4,9,NA,NA,NA
"1358",1245,22,28,NA,NA,NA
"1359",1246,0,2,8,33,37
"1360",40,46,49,NA,NA,NA
"1361",1247,1,17,43,NA,NA
"1362",1248,7,22,30,NA,NA
"1363",1249,2,4,9,36,43
"1364",46,NA,NA,NA,NA,NA
"1365",1250,21,34,36,39,45
"1366",1251,2,3,8,19,23
"1367",37,43,NA,NA,NA,NA
"1368",1252,0,2,46,NA,NA
"1369",1253,3,18,22,23,35
"1370",1254,9,29,NA,NA,NA
"1371",1255,7,15,49,NA,NA
"1372",1256,12,31,36,48,NA
"1373",1257,18,20,23,27,NA
"1374",1258,1,18,NA,NA,NA
"1375",1259,9,16,32,45,47
"1376",1260,5,22,45,NA,NA
"1377",1261,16,32,45,NA,NA
"1378",1262,17,29,47,NA,NA
"1379",1263,3,6,14,26,31
"1380",1264,0,2,20,46,NA
"1381",1265,10,16,42,44,48
"1382",1266,18,33,42,NA,NA
"1383",1267,42,NA,NA,NA,NA
"1384",1268,7,11,37,45,NA
"1385",1269,15,26,35,46,NA
"1386",1270,18,35,39,NA,NA
"1387",1271,7,19,28,33,38
"1388",1272,16,32,45,NA,NA
"1389",1273,27,28,NA,NA,NA
"1390",1274,1,7,15,49,NA
"1391",1275,7,11,37,NA,NA
"1392",1276,23,26,NA,NA,NA
"1393",1277,33,42,NA,NA,NA
"1394",1278,3,9,11,27,28
"1395",30,37,39,NA,NA,NA
"1396",1279,16,32,45,NA,NA
"1397",1280,28,NA,NA,NA,NA
"1398",1281,13,17,29,47,NA
"1399",1282,13,32,34,40,NA
"1400",1283,4,9,17,34,NA
"1401",1284,3,18,35,44,NA
"1402",1285,24,33,NA,NA,NA
"1403",1286,25,35,42,NA,NA
"1404",1287,32,39,47,49,NA
"1405",1288,0,21,NA,NA,NA
"1406",1289,14,17,19,31,36
"1407",39,46,NA,NA,NA,NA
"1408",1290,13,22,25,26,31
"1409",34,NA,NA,NA,NA,NA
"1410",1291,14,44,NA,NA,NA
"1411",1292,4,13,15,20,NA
"1412",1293,27,28,NA,NA,NA
"1413",1294,0,17,37,38,NA
"1414",1295,0,2,46,NA,NA
"1415",1296,8,46,NA,NA,NA
"1416",1297,0,2,46,NA,NA
"1417",1298,7,11,37,45,NA
"1418",1299,5,7,22,43,NA
"1419",1300,7,11,37,45,NA
"1420",1301,4,6,43,NA,NA
"1421",1302,5,16,17,32,34
"1422",45,47,NA,NA,NA,NA
"1423",1303,2,15,18,21,26
"1424",31,46,NA,NA,NA,NA
"1425",1304,3,14,19,27,28
"1426",40,NA,NA,NA,NA,NA
"1427",1305,6,9,14,19,20
"1428",31,34,NA,NA,NA,NA
"1429",1306,13,25,NA,NA,NA
"1430",1307,14,24,33,NA,NA
"1431",1308,6,15,36,NA,NA
"1432",1309,20,46,47,48,NA
"1433",1310,5,6,16,20,NA
"1434",1311,4,22,45,NA,NA
"1435",1312,42,NA,NA,NA,NA
"1436",1313,14,44,NA,NA,NA
"1437",1314,0,2,46,NA,NA
"1438",1315,0,17,47,NA,NA
"1439",1316,9,19,35,42,45
"1440",1317,7,15,49,NA,NA
"1441",1318,7,11,37,NA,NA
"1442",1319,3,18,35,NA,NA
"1443",1320,2,19,40,45,NA
"1444",1321,17,47,48,NA,NA
"1445",1322,0,33,42,NA,NA
"1446",1323,2,6,14,43,NA
"1447",1324,17,29,47,NA,NA
"1448",1325,26,27,28,NA,NA
"1449",1326,1,9,44,NA,NA
"1450",1327,14,15,33,NA,NA
"1451",1328,10,14,38,42,43
"1452",1329,1,3,8,13,28
"1453",40,48,49,NA,NA,NA
"1454",1330,17,19,28,30,NA
"1455",1331,13,18,30,34,35
"1456",1332,17,29,40,47,NA
"1457",1333,16,20,27,28,NA
"1458",1334,32,42,NA,NA,NA
"1459",1335,10,27,28,NA,NA
"1460",1336,33,42,NA,NA,NA
"1461",1337,5,22,37,NA,NA
"1462",1338,5,22,28,29,43
"1463",47,NA,NA,NA,NA,NA
"1464",1339,14,44,NA,NA,NA
"1465",1340,15,31,45,NA,NA
"1466",1341,37,NA,NA,NA,NA
"1467",1342,14,16,43,44,NA
"1468",1343,7,8,12,18,27
"1469",34,35,39,NA,NA,NA
"1470",1344,7,NA,NA,NA,NA
"1471",1345,5,25,26,30,38
"1472",1346,1,17,27,28,NA
"1473",1347,17,25,40,44,NA
"1474",1348,14,36,37,44,NA
"1475",1349,6,27,28,37,NA
"1476",1350,4,31,NA,NA,NA
"1477",1351,12,31,36,48,NA
"1478",1352,1,5,15,27,NA
"1479",1353,3,47,NA,NA,NA
"1480",1354,1,19,NA,NA,NA
"1481",1355,17,29,47,NA,NA
"1482",1356,16,32,NA,NA,NA
"1483",1357,5,28,30,37,NA
"1484",1358,18,21,22,35,NA
"1485",1359,40,45,48,NA,NA
"1486",1360,25,35,NA,NA,NA
"1487",1361,17,29,47,NA,NA
"1488",1362,16,18,NA,NA,NA
"1489",1363,4,NA,NA,NA,NA
"1490",1364,6,7,34,38,NA
"1491",1365,0,24,48,NA,NA
"1492",1366,2,20,NA,NA,NA
"1493",1367,24,NA,NA,NA,NA
"1494",1368,3,18,22,35,NA
"1495",1369,10,27,42,NA,NA
"1496",1370,9,28,NA,NA,NA
"1497",1371,7,15,49,NA,NA
"1498",1372,28,NA,NA,NA,NA
"1499",1373,8,26,NA,NA,NA
"1500",1374,12,31,36,NA,NA
"1501",1375,3,18,35,NA,NA
"1502",1376,0,1,7,19,21
"1503",1377,11,17,43,47,NA
"1504",1378,5,22,40,NA,NA
"1505",1379,1,9,19,46,NA
"1506",1380,14,44,NA,NA,NA
"1507",1381,3,18,35,NA,NA
"1508",1382,3,18,35,NA,NA
"1509",1383,11,24,32,NA,NA
"1510",1384,9,27,28,46,NA
"1511",1385,8,17,42,49,NA
"1512",1386,4,30,32,49,NA
"1513",1387,12,31,36,48,NA
"1514",1388,6,NA,NA,NA,NA
"1515",1389,10,NA,NA,NA,NA
"1516",1390,0,2,46,NA,NA
"1517",1391,1,28,48,NA,NA
"1518",1392,4,NA,NA,NA,NA
"1519",1393,17,27,28,41,NA
"1520",1394,5,22,23,28,29
"1521",30,35,NA,NA,NA,NA
"1522",1395,1,4,9,NA,NA
"1523",1396,1,2,3,22,39
"1524",1397,23,24,40,41,43
"1525",1398,7,11,37,45,NA
"1526",1399,0,16,32,45,NA
"1527",1400,19,32,47,49,NA
"1528",1401,14,20,34,NA,NA
"1529",1402,14,15,27,31,39
"1530",42,NA,NA,NA,NA,NA
"1531",1403,2,4,8,9,18
"1532",48,NA,NA,NA,NA,NA
"1533",1404,28,43,47,NA,NA
"1534",1405,7,11,37,45,NA
"1535",1406,11,NA,NA,NA,NA
"1536",1407,23,24,40,41,43
"1537",1408,4,9,NA,NA,NA
"1538",1409,1,28,33,35,48
"1539",1410,14,18,36,48,NA
"1540",1411,14,17,19,44,46
"1541",1412,1,3,19,30,37
"1542",48,NA,NA,NA,NA,NA
"1543",1413,23,24,40,41,NA
"1544",1414,14,20,33,NA,NA
"1545",1415,7,15,37,39,NA
"1546",1416,2,27,28,32,49
"1547",1417,12,31,36,48,NA
"1548",1418,1,2,11,18,NA
"1549",1419,4,6,11,42,NA
"1550",1420,23,24,40,41,43
"1551",1421,12,14,17,21,27
"1552",28,33,NA,NA,NA,NA
"1553",1422,5,22,NA,NA,NA
"1554",1423,12,31,36,48,NA
"1555",1424,20,24,29,NA,NA
"1556",1425,10,27,28,35,46
"1557",1426,14,31,NA,NA,NA
"1558",1427,7,12,27,29,43
"1559",1428,1,23,36,NA,NA
"1560",1429,7,29,36,41,47
"1561",1430,1,19,NA,NA,NA
"1562",1431,0,8,20,23,32
"1563",1432,1,6,25,NA,NA
"1564",1433,0,2,25,36,NA
"1565",1434,0,22,NA,NA,NA
"1566",1435,4,15,35,38,NA
"1567",1436,3,18,35,NA,NA
"1568",1437,16,32,NA,NA,NA
"1569",1438,5,7,42,NA,NA
"1570",1439,30,33,34,NA,NA
"1571",1440,1,16,29,32,45
"1572",1441,37,46,NA,NA,NA
"1573",1442,41,NA,NA,NA,NA
"1574",1443,7,15,49,NA,NA
"1575",1444,3,9,16,27,28
"1576",31,42,NA,NA,NA,NA
"1577",1445,7,15,49,NA,NA
"1578",1446,2,8,NA,NA,NA
"1579",1447,1,31,33,35,42
"1580",1448,4,NA,NA,NA,NA
"1581",1449,23,24,40,41,43
"1582",1450,4,25,28,NA,NA
"1583",1451,41,NA,NA,NA,NA
"1584",1452,7,27,28,48,NA
"1585",1453,7,11,37,45,NA
"1586",1454,6,48,NA,NA,NA
"1587",1455,4,18,22,26,37
"1588",1456,14,NA,NA,NA,NA
"1589",1457,6,23,24,37,40
"1590",41,43,NA,NA,NA,NA
"1591",1458,3,18,19,21,35
"1592",1459,30,32,46,NA,NA
"1593",1460,7,NA,NA,NA,NA
"1594",1461,0,2,46,NA,NA
