"","V1","V2","V3","V4","V5","V6","V7","V8"
"5001",4914,23,35,NA,NA,NA,NA,NA
"5002",4915,16,24,25,36,NA,NA,NA
"5003",4916,7,15,43,NA,NA,NA,NA
"5004",4917,0,14,44,NA,NA,NA,NA
"5005",4918,5,32,NA,NA,NA,NA,NA
"5006",4919,7,11,37,NA,NA,NA,NA
"5007",4920,0,6,28,44,NA,NA,NA
"5008",4921,17,29,47,NA,NA,NA,NA
"5009",4922,4,9,26,42,NA,NA,NA
"5010",4923,5,22,41,NA,NA,NA,NA
"5011",4924,7,NA,NA,NA,NA,NA,NA
"5012",4925,14,44,NA,NA,NA,NA,NA
"5013",4926,4,11,15,NA,NA,NA,NA
"5014",4927,10,14,23,27,28,36,37
"5015",4928,3,18,35,NA,NA,NA,NA
"5016",4929,4,22,30,40,43,44,46
"5017",4930,7,11,37,45,NA,NA,NA
"5018",4931,7,14,42,NA,NA,NA,NA
"5019",4932,8,29,34,NA,NA,NA,NA
"5020",4933,7,15,49,NA,NA,NA,NA
"5021",4934,16,32,37,45,NA,NA,NA
"5022",4935,10,23,36,40,NA,NA,NA
"5023",4936,13,24,25,35,36,NA,NA
"5024",4937,3,10,19,NA,NA,NA,NA
"5025",4938,14,44,NA,NA,NA,NA,NA
"5026",4939,18,36,47,NA,NA,NA,NA
"5027",4940,27,28,34,39,NA,NA,NA
"5028",4941,6,11,42,48,NA,NA,NA
"5029",4942,2,3,38,NA,NA,NA,NA
"5030",4943,20,45,NA,NA,NA,NA,NA
"5031",4944,18,28,29,NA,NA,NA,NA
"5032",4945,3,15,37,NA,NA,NA,NA
"5033",4946,0,20,29,NA,NA,NA,NA
"5034",4947,30,31,36,44,NA,NA,NA
"5035",4948,3,39,NA,NA,NA,NA,NA
"5036",4949,17,21,26,42,NA,NA,NA
"5037",4950,7,11,37,45,NA,NA,NA
"5038",4951,18,26,41,NA,NA,NA,NA
"5039",4952,5,14,20,32,43,NA,NA
"5040",4953,27,38,40,NA,NA,NA,NA
"5041",4954,4,13,14,15,20,35,44
"5042",4955,1,28,NA,NA,NA,NA,NA
"5043",4956,9,24,28,39,NA,NA,NA
"5044",4957,3,17,22,29,45,47,NA
"5045",4958,28,35,NA,NA,NA,NA,NA
"5046",4959,16,32,NA,NA,NA,NA,NA
"5047",4960,0,11,13,NA,NA,NA,NA
"5048",4961,9,10,13,14,NA,NA,NA
"5049",4962,17,29,47,NA,NA,NA,NA
"5050",4963,16,32,45,NA,NA,NA,NA
"5051",4964,9,18,NA,NA,NA,NA,NA
"5052",4965,17,24,25,27,28,39,49
"5053",4966,15,16,32,45,NA,NA,NA
"5054",4967,3,18,35,NA,NA,NA,NA
"5055",4968,1,36,44,NA,NA,NA,NA
"5056",4969,28,43,NA,NA,NA,NA,NA
"5057",4970,7,15,49,NA,NA,NA,NA
"5058",4971,6,8,14,NA,NA,NA,NA
"5059",4972,17,27,44,NA,NA,NA,NA
"5060",4973,27,28,35,NA,NA,NA,NA
"5061",4974,27,28,44,NA,NA,NA,NA
"5062",4975,3,8,47,NA,NA,NA,NA
"5063",4976,23,24,40,41,43,NA,NA
"5064",4977,1,4,10,17,22,23,25
"5065",31,NA,NA,NA,NA,NA,NA,NA
"5066",4978,3,4,18,35,41,45,NA
"5067",4979,2,27,47,NA,NA,NA,NA
"5068",4980,4,13,30,42,NA,NA,NA
"5069",4981,7,10,15,NA,NA,NA,NA
"5070",4982,21,30,NA,NA,NA,NA,NA
"5071",4983,4,9,25,NA,NA,NA,NA
"5072",4984,2,20,28,NA,NA,NA,NA
"5073",4985,0,2,41,46,NA,NA,NA
"5074",4986,41,47,NA,NA,NA,NA,NA
"5075",4987,1,42,NA,NA,NA,NA,NA
"5076",4988,21,29,NA,NA,NA,NA,NA
"5077",4989,0,5,10,NA,NA,NA,NA
"5078",4990,3,18,35,NA,NA,NA,NA
"5079",4991,6,14,38,44,NA,NA,NA
"5080",4992,12,31,36,48,NA,NA,NA
"5081",4993,4,9,35,NA,NA,NA,NA
"5082",4994,8,42,NA,NA,NA,NA,NA
"5083",4995,23,24,40,41,43,NA,NA
"5084",4996,4,10,26,31,37,49,NA
"5085",4997,5,28,NA,NA,NA,NA,NA
"5086",4998,3,18,35,NA,NA,NA,NA
"5087",4999,7,11,37,NA,NA,NA,NA
"5088",5000,27,28,44,NA,NA,NA,NA
"5089",5001,5,25,47,NA,NA,NA,NA
"5090",5002,27,29,32,45,NA,NA,NA
"5091",5003,4,14,15,22,44,NA,NA
"5092",5004,2,5,8,11,22,41,46
"5093",48,NA,NA,NA,NA,NA,NA,NA
"5094",5005,12,31,36,48,NA,NA,NA
"5095",5006,0,26,NA,NA,NA,NA,NA
"5096",5007,0,36,44,46,NA,NA,NA
"5097",5008,6,7,27,41,NA,NA,NA
"5098",5009,16,32,45,NA,NA,NA,NA
"5099",5010,7,15,49,NA,NA,NA,NA
"5100",5011,7,11,37,45,NA,NA,NA
"5101",5012,14,44,46,NA,NA,NA,NA
"5102",5013,3,18,35,NA,NA,NA,NA
"5103",5014,0,19,27,28,NA,NA,NA
"5104",5015,27,28,32,NA,NA,NA,NA
"5105",5016,5,22,24,37,48,NA,NA
"5106",5017,7,11,37,45,NA,NA,NA
"5107",5018,1,19,27,NA,NA,NA,NA
"5108",5019,0,2,13,15,16,46,NA
"5109",5020,35,42,NA,NA,NA,NA,NA
"5110",5021,23,42,NA,NA,NA,NA,NA
"5111",5022,19,44,48,NA,NA,NA,NA
"5112",5023,12,35,41,NA,NA,NA,NA
"5113",5024,37,NA,NA,NA,NA,NA,NA
"5114",5025,0,NA,NA,NA,NA,NA,NA
"5115",5026,7,15,31,49,NA,NA,NA
"5116",5027,11,25,NA,NA,NA,NA,NA
"5117",5028,17,29,47,NA,NA,NA,NA
"5118",5029,14,24,30,NA,NA,NA,NA
"5119",5030,1,19,NA,NA,NA,NA,NA
"5120",5031,0,2,46,NA,NA,NA,NA
"5121",5032,5,16,32,45,NA,NA,NA
"5122",5033,3,18,35,NA,NA,NA,NA
"5123",5034,7,15,49,NA,NA,NA,NA
"5124",5035,3,18,35,NA,NA,NA,NA
"5125",5036,1,4,9,20,40,NA,NA
"5126",5037,12,18,19,45,NA,NA,NA
"5127",5038,7,9,10,17,25,36,42
"5128",46,NA,NA,NA,NA,NA,NA,NA
"5129",5039,0,NA,NA,NA,NA,NA,NA
"5130",5040,10,16,32,45,NA,NA,NA
"5131",5041,16,33,NA,NA,NA,NA,NA
"5132",5042,16,42,NA,NA,NA,NA,NA
"5133",5043,4,9,NA,NA,NA,NA,NA
"5134",5044,7,12,14,44,NA,NA,NA
"5135",5045,8,10,19,21,22,29,35
"5136",41,NA,NA,NA,NA,NA,NA,NA
"5137",5046,16,32,45,NA,NA,NA,NA
"5138",5047,4,6,9,17,36,NA,NA
"5139",5048,16,22,32,33,45,NA,NA
"5140",5049,10,13,20,27,36,44,NA
"5141",5050,16,32,NA,NA,NA,NA,NA
"5142",5051,13,29,NA,NA,NA,NA,NA
"5143",5052,33,38,42,NA,NA,NA,NA
"5144",5053,17,29,47,NA,NA,NA,NA
"5145",5054,9,11,16,34,NA,NA,NA
"5146",5055,2,4,5,19,28,38,NA
"5147",5056,4,15,21,NA,NA,NA,NA
"5148",5057,12,22,NA,NA,NA,NA,NA
"5149",5058,18,19,38,40,NA,NA,NA
"5150",5059,5,22,NA,NA,NA,NA,NA
"5151",5060,0,2,4,18,36,46,NA
"5152",5061,8,10,15,25,43,48,NA
"5153",5062,14,18,41,NA,NA,NA,NA
"5154",5063,14,27,28,30,NA,NA,NA
"5155",5064,14,44,NA,NA,NA,NA,NA
"5156",5065,24,27,NA,NA,NA,NA,NA
"5157",5066,0,3,5,18,30,33,40
"5158",48,NA,NA,NA,NA,NA,NA,NA
"5159",5067,12,25,29,34,NA,NA,NA
"5160",5068,38,NA,NA,NA,NA,NA,NA
"5161",5069,22,23,31,NA,NA,NA,NA
"5162",5070,1,18,35,47,NA,NA,NA
"5163",5071,3,12,15,26,NA,NA,NA
"5164",5072,5,22,39,NA,NA,NA,NA
"5165",5073,4,9,41,NA,NA,NA,NA
"5166",5074,17,28,30,47,NA,NA,NA
"5167",5075,11,14,21,40,NA,NA,NA
"5168",5076,23,24,40,41,43,NA,NA
"5169",5077,28,42,48,49,NA,NA,NA
"5170",5078,27,28,44,NA,NA,NA,NA
"5171",5079,0,2,46,NA,NA,NA,NA
"5172",5080,4,9,33,NA,NA,NA,NA
"5173",5081,17,29,47,NA,NA,NA,NA
"5174",5082,24,NA,NA,NA,NA,NA,NA
"5175",5083,31,NA,NA,NA,NA,NA,NA
"5176",5084,11,14,28,NA,NA,NA,NA
"5177",5085,8,22,NA,NA,NA,NA,NA
"5178",5086,17,34,38,NA,NA,NA,NA
"5179",5087,4,7,9,17,18,27,41
"5180",5088,33,42,NA,NA,NA,NA,NA
"5181",5089,3,14,32,34,NA,NA,NA
"5182",5090,4,14,18,29,30,46,NA
"5183",5091,23,24,40,41,43,NA,NA
"5184",5092,1,19,NA,NA,NA,NA,NA
"5185",5093,0,2,9,17,29,31,46
"5186",5094,11,15,32,36,42,NA,NA
"5187",5095,5,18,22,32,NA,NA,NA
"5188",5096,5,7,10,15,30,31,47
"5189",5097,17,29,32,47,NA,NA,NA
"5190",5098,7,11,15,25,38,39,49
"5191",5099,3,9,25,32,40,NA,NA
"5192",5100,8,14,44,NA,NA,NA,NA
"5193",5101,5,22,NA,NA,NA,NA,NA
"5194",5102,0,2,46,NA,NA,NA,NA
"5195",5103,2,11,18,43,47,NA,NA
"5196",5104,42,NA,NA,NA,NA,NA,NA
"5197",5105,5,23,24,NA,NA,NA,NA
"5198",5106,1,19,27,34,42,45,NA
"5199",5107,7,11,37,45,NA,NA,NA
"5200",5108,0,4,NA,NA,NA,NA,NA
"5201",5109,4,9,49,NA,NA,NA,NA
"5202",5110,4,7,9,14,38,NA,NA
"5203",5111,1,19,31,42,NA,NA,NA
"5204",5112,3,18,35,NA,NA,NA,NA
"5205",5113,7,11,37,NA,NA,NA,NA
"5206",5114,4,18,20,NA,NA,NA,NA
"5207",5115,1,19,24,NA,NA,NA,NA
"5208",5116,31,38,NA,NA,NA,NA,NA
"5209",5117,5,22,45,NA,NA,NA,NA
"5210",5118,12,19,46,NA,NA,NA,NA
"5211",5119,5,22,32,NA,NA,NA,NA
"5212",5120,21,29,NA,NA,NA,NA,NA
"5213",5121,23,24,40,41,NA,NA,NA
"5214",5122,7,11,37,45,NA,NA,NA
"5215",5123,17,26,38,46,NA,NA,NA
"5216",5124,5,22,34,40,43,NA,NA
"5217",5125,1,32,34,40,47,NA,NA
"5218",5126,4,7,21,NA,NA,NA,NA
"5219",5127,0,2,46,NA,NA,NA,NA
"5220",5128,1,13,19,NA,NA,NA,NA
"5221",5129,7,15,49,NA,NA,NA,NA
"5222",5130,25,44,NA,NA,NA,NA,NA
"5223",5131,22,NA,NA,NA,NA,NA,NA
"5224",5132,27,28,NA,NA,NA,NA,NA
"5225",5133,7,15,28,49,NA,NA,NA
"5226",5134,1,3,19,22,24,NA,NA
"5227",5135,1,19,30,34,45,NA,NA
"5228",5136,0,2,46,NA,NA,NA,NA
"5229",5137,12,31,36,NA,NA,NA,NA
"5230",5138,19,23,40,NA,NA,NA,NA
"5231",5139,2,27,33,42,NA,NA,NA
"5232",5140,8,31,NA,NA,NA,NA,NA
"5233",5141,1,25,NA,NA,NA,NA,NA
"5234",5142,8,44,NA,NA,NA,NA,NA
"5235",5143,14,44,NA,NA,NA,NA,NA
"5236",5144,4,9,22,38,NA,NA,NA
"5237",5145,0,2,46,NA,NA,NA,NA
"5238",5146,17,20,27,38,NA,NA,NA
"5239",5147,14,41,44,NA,NA,NA,NA
"5240",5148,4,9,24,NA,NA,NA,NA
"5241",5149,16,17,39,NA,NA,NA,NA
"5242",5150,4,8,20,41,48,NA,NA
"5243",5151,23,24,40,41,43,NA,NA
"5244",5152,0,10,NA,NA,NA,NA,NA
"5245",5153,14,33,44,NA,NA,NA,NA
"5246",5154,24,NA,NA,NA,NA,NA,NA
"5247",5155,27,28,NA,NA,NA,NA,NA
"5248",5156,7,11,37,45,NA,NA,NA
"5249",5157,6,24,32,NA,NA,NA,NA
"5250",5158,33,42,46,NA,NA,NA,NA
"5251",5159,14,44,NA,NA,NA,NA,NA
"5252",5160,1,5,22,36,46,NA,NA
"5253",5161,18,23,31,32,35,36,38
"5254",5162,10,33,39,NA,NA,NA,NA
"5255",5163,24,36,43,NA,NA,NA,NA
"5256",5164,11,29,38,NA,NA,NA,NA
"5257",5165,15,17,29,47,48,NA,NA
"5258",5166,12,16,17,32,39,42,48
"5259",5167,1,46,NA,NA,NA,NA,NA
"5260",5168,1,19,48,NA,NA,NA,NA
"5261",5169,3,5,9,22,24,29,35
"5262",47,NA,NA,NA,NA,NA,NA,NA
"5263",5170,22,38,47,NA,NA,NA,NA
"5264",5171,26,27,28,NA,NA,NA,NA
"5265",5172,9,14,19,28,44,NA,NA
"5266",5173,0,8,24,46,NA,NA,NA
"5267",5174,10,16,23,NA,NA,NA,NA
"5268",5175,7,11,37,43,45,NA,NA
"5269",5176,1,7,10,27,28,33,38
"5270",43,NA,NA,NA,NA,NA,NA,NA
"5271",5177,8,9,NA,NA,NA,NA,NA
"5272",5178,16,39,40,46,NA,NA,NA
"5273",5179,1,19,27,28,30,31,35
"5274",41,NA,NA,NA,NA,NA,NA,NA
"5275",5180,13,29,NA,NA,NA,NA,NA
"5276",5181,39,40,NA,NA,NA,NA,NA
"5277",5182,22,23,27,NA,NA,NA,NA
"5278",5183,28,32,37,39,NA,NA,NA
"5279",5184,7,9,11,27,34,36,40
"5280",5185,26,27,28,NA,NA,NA,NA
"5281",5186,17,23,45,47,NA,NA,NA
"5282",5187,1,37,NA,NA,NA,NA,NA
"5283",5188,12,25,47,NA,NA,NA,NA
"5284",5189,5,6,40,NA,NA,NA,NA
"5285",5190,19,26,NA,NA,NA,NA,NA
"5286",5191,6,40,NA,NA,NA,NA,NA
"5287",5192,19,26,40,42,NA,NA,NA
"5288",5193,3,12,17,28,31,34,36
"5289",48,NA,NA,NA,NA,NA,NA,NA
"5290",5194,3,19,33,45,NA,NA,NA
"5291",5195,11,35,NA,NA,NA,NA,NA
"5292",5196,9,22,NA,NA,NA,NA,NA
"5293",5197,23,24,40,41,43,NA,NA
"5294",5198,5,7,15,23,39,46,NA
"5295",5199,4,9,39,NA,NA,NA,NA
"5296",5200,7,15,49,NA,NA,NA,NA
"5297",5201,5,22,NA,NA,NA,NA,NA
"5298",5202,17,29,47,NA,NA,NA,NA
"5299",5203,3,17,NA,NA,NA,NA,NA
"5300",5204,5,43,NA,NA,NA,NA,NA
"5301",5205,4,9,20,NA,NA,NA,NA
"5302",5206,1,15,27,28,34,47,NA
"5303",5207,5,22,44,NA,NA,NA,NA
"5304",5208,17,29,36,47,NA,NA,NA
"5305",5209,1,18,NA,NA,NA,NA,NA
"5306",5210,18,35,NA,NA,NA,NA,NA
"5307",5211,14,37,44,48,NA,NA,NA
"5308",5212,28,33,42,NA,NA,NA,NA
"5309",5213,4,5,6,35,43,NA,NA
"5310",5214,1,27,28,32,NA,NA,NA
"5311",5215,33,42,44,NA,NA,NA,NA
"5312",5216,16,26,27,28,33,NA,NA
"5313",5217,4,21,24,28,40,NA,NA
"5314",5218,4,8,29,NA,NA,NA,NA
"5315",5219,9,14,26,31,44,48,49
"5316",5220,5,22,26,NA,NA,NA,NA
"5317",5221,5,17,22,29,NA,NA,NA
"5318",5222,3,18,35,NA,NA,NA,NA
"5319",5223,7,11,37,45,NA,NA,NA
"5320",5224,27,28,34,NA,NA,NA,NA
"5321",5225,16,32,45,NA,NA,NA,NA
"5322",5226,12,13,14,34,36,47,NA
"5323",5227,16,NA,NA,NA,NA,NA,NA
"5324",5228,4,10,29,NA,NA,NA,NA
"5325",5229,5,11,29,NA,NA,NA,NA
"5326",5230,27,28,NA,NA,NA,NA,NA
"5327",5231,8,35,NA,NA,NA,NA,NA
"5328",5232,1,20,45,NA,NA,NA,NA
"5329",5233,5,28,NA,NA,NA,NA,NA
"5330",5234,8,17,28,29,47,NA,NA
"5331",5235,24,29,NA,NA,NA,NA,NA
"5332",5236,18,23,35,NA,NA,NA,NA
"5333",5237,3,18,35,NA,NA,NA,NA
"5334",5238,33,37,NA,NA,NA,NA,NA
"5335",5239,11,37,43,NA,NA,NA,NA
"5336",5240,3,4,34,41,NA,NA,NA
"5337",5241,9,32,NA,NA,NA,NA,NA
"5338",5242,3,4,7,15,16,20,34
"5339",44,NA,NA,NA,NA,NA,NA,NA
"5340",5243,2,26,39,NA,NA,NA,NA
"5341",5244,16,32,45,NA,NA,NA,NA
"5342",5245,0,35,40,47,NA,NA,NA
"5343",5246,5,14,NA,NA,NA,NA,NA
"5344",5247,4,9,NA,NA,NA,NA,NA
"5345",5248,13,15,NA,NA,NA,NA,NA
"5346",5249,5,11,14,28,36,41,44
"5347",5250,17,29,47,NA,NA,NA,NA
"5348",5251,16,32,45,NA,NA,NA,NA
"5349",5252,4,6,9,27,NA,NA,NA
"5350",5253,0,2,5,46,NA,NA,NA
"5351",5254,15,19,24,40,NA,NA,NA
"5352",5255,21,26,NA,NA,NA,NA,NA
"5353",5256,7,15,49,NA,NA,NA,NA
"5354",5257,1,18,NA,NA,NA,NA,NA
"5355",5258,23,24,40,41,43,NA,NA
"5356",5259,7,34,35,NA,NA,NA,NA
"5357",5260,27,NA,NA,NA,NA,NA,NA
"5358",5261,8,16,27,34,49,NA,NA
"5359",5262,32,42,45,NA,NA,NA,NA
"5360",5263,3,18,33,35,NA,NA,NA
"5361",5264,7,15,49,NA,NA,NA,NA
"5362",5265,26,42,NA,NA,NA,NA,NA
"5363",5266,11,16,38,40,44,NA,NA
"5364",5267,21,35,NA,NA,NA,NA,NA
"5365",5268,17,29,38,47,NA,NA,NA
"5366",5269,1,18,19,46,NA,NA,NA
"5367",5270,1,22,26,41,NA,NA,NA
"5368",5271,5,7,20,22,24,NA,NA
"5369",5272,9,14,49,NA,NA,NA,NA
"5370",5273,1,19,NA,NA,NA,NA,NA
"5371",5274,17,29,47,NA,NA,NA,NA
"5372",5275,2,15,17,NA,NA,NA,NA
"5373",5276,14,NA,NA,NA,NA,NA,NA
"5374",5277,0,2,46,NA,NA,NA,NA
"5375",5278,7,11,37,45,NA,NA,NA
"5376",5279,4,9,NA,NA,NA,NA,NA
"5377",5280,9,NA,NA,NA,NA,NA,NA
"5378",5281,14,33,41,42,NA,NA,NA
"5379",5282,1,5,22,27,NA,NA,NA
"5380",5283,29,38,42,NA,NA,NA,NA
"5381",5284,14,23,24,NA,NA,NA,NA
"5382",5285,11,12,30,NA,NA,NA,NA
"5383",5286,34,44,45,NA,NA,NA,NA
"5384",5287,20,NA,NA,NA,NA,NA,NA
"5385",5288,27,28,34,NA,NA,NA,NA
"5386",5289,11,27,28,33,42,43,46
"5387",5290,1,13,19,31,NA,NA,NA
"5388",5291,4,9,40,NA,NA,NA,NA
"5389",5292,7,11,37,45,NA,NA,NA
"5390",5293,11,27,28,NA,NA,NA,NA
"5391",5294,5,20,26,28,NA,NA,NA
"5392",5295,1,14,NA,NA,NA,NA,NA
"5393",5296,3,18,35,NA,NA,NA,NA
"5394",5297,5,9,30,47,NA,NA,NA
"5395",5298,0,7,13,17,23,32,NA
"5396",5299,44,NA,NA,NA,NA,NA,NA
"5397",5300,9,18,36,40,NA,NA,NA
"5398",5301,6,41,NA,NA,NA,NA,NA
"5399",5302,17,29,47,NA,NA,NA,NA
"5400",5303,4,9,10,NA,NA,NA,NA
"5401",5304,38,NA,NA,NA,NA,NA,NA
"5402",5305,12,30,46,NA,NA,NA,NA
"5403",5306,4,NA,NA,NA,NA,NA,NA
"5404",5307,5,22,NA,NA,NA,NA,NA
"5405",5308,1,9,17,27,28,41,43
"5406",5309,3,18,35,NA,NA,NA,NA
"5407",5310,26,NA,NA,NA,NA,NA,NA
"5408",5311,3,19,22,44,NA,NA,NA
"5409",5312,25,30,NA,NA,NA,NA,NA
"5410",5313,12,31,36,48,NA,NA,NA
"5411",5314,7,9,11,31,33,42,44
"5412",48,NA,NA,NA,NA,NA,NA,NA
"5413",5315,4,17,19,24,34,46,NA
"5414",5316,17,29,47,NA,NA,NA,NA
"5415",5317,6,8,17,34,41,43,NA
"5416",5318,19,26,NA,NA,NA,NA,NA
"5417",5319,17,30,47,NA,NA,NA,NA
"5418",5320,16,32,45,NA,NA,NA,NA
"5419",5321,3,18,35,NA,NA,NA,NA
"5420",5322,7,11,37,45,NA,NA,NA
"5421",5323,13,26,NA,NA,NA,NA,NA
"5422",5324,24,27,48,NA,NA,NA,NA
"5423",5325,14,17,21,44,NA,NA,NA
"5424",5326,27,28,NA,NA,NA,NA,NA
"5425",5327,5,22,NA,NA,NA,NA,NA
"5426",5328,23,24,40,41,NA,NA,NA
"5427",5329,6,16,26,34,NA,NA,NA
"5428",5330,4,9,15,NA,NA,NA,NA
"5429",5331,0,4,9,15,24,46,NA
"5430",5332,27,28,NA,NA,NA,NA,NA
"5431",5333,1,35,49,NA,NA,NA,NA
"5432",5334,13,30,38,NA,NA,NA,NA
"5433",5335,13,NA,NA,NA,NA,NA,NA
"5434",5336,0,1,2,37,46,NA,NA
"5435",5337,3,18,35,NA,NA,NA,NA
"5436",5338,6,19,44,NA,NA,NA,NA
"5437",5339,12,21,39,NA,NA,NA,NA
"5438",5340,17,21,42,NA,NA,NA,NA
"5439",5341,0,19,45,NA,NA,NA,NA
"5440",5342,4,19,46,NA,NA,NA,NA
"5441",5343,16,32,37,45,NA,NA,NA
"5442",5344,14,18,44,NA,NA,NA,NA
"5443",5345,27,28,NA,NA,NA,NA,NA
"5444",5346,6,15,17,29,31,47,NA
"5445",5347,7,15,NA,NA,NA,NA,NA
"5446",5348,1,5,14,15,21,34,36
"5447",43,NA,NA,NA,NA,NA,NA,NA
"5448",5349,23,24,40,41,43,NA,NA
"5449",5350,1,14,22,44,NA,NA,NA
"5450",5351,16,32,45,NA,NA,NA,NA
"5451",5352,1,19,NA,NA,NA,NA,NA
"5452",5353,12,18,25,NA,NA,NA,NA
"5453",5354,7,30,NA,NA,NA,NA,NA
"5454",5355,5,8,27,NA,NA,NA,NA
"5455",5356,23,33,43,NA,NA,NA,NA
"5456",5357,38,40,42,NA,NA,NA,NA
"5457",5358,4,9,NA,NA,NA,NA,NA
"5458",5359,3,18,24,31,34,35,NA
"5459",5360,9,20,22,NA,NA,NA,NA
"5460",5361,4,7,12,24,31,32,48
"5461",5362,9,16,NA,NA,NA,NA,NA
"5462",5363,6,42,45,NA,NA,NA,NA
"5463",5364,6,10,15,35,49,NA,NA
"5464",5365,5,8,34,NA,NA,NA,NA
"5465",5366,10,NA,NA,NA,NA,NA,NA
"5466",5367,16,32,45,NA,NA,NA,NA
"5467",5368,12,16,21,27,28,NA,NA
"5468",5369,14,34,44,NA,NA,NA,NA
"5469",5370,33,38,42,NA,NA,NA,NA
"5470",5371,28,33,41,42,46,NA,NA
"5471",5372,11,12,23,NA,NA,NA,NA
"5472",5373,23,24,40,41,43,NA,NA
"5473",5374,14,24,33,41,42,NA,NA
"5474",5375,12,31,36,48,NA,NA,NA
"5475",5376,0,2,12,13,34,45,46
"5476",49,NA,NA,NA,NA,NA,NA,NA
"5477",5377,17,29,47,NA,NA,NA,NA
"5478",5378,17,18,21,32,NA,NA,NA
"5479",5379,14,44,NA,NA,NA,NA,NA
"5480",5380,1,19,NA,NA,NA,NA,NA
"5481",5381,4,5,NA,NA,NA,NA,NA
"5482",5382,29,38,NA,NA,NA,NA,NA
"5483",5383,16,30,NA,NA,NA,NA,NA
"5484",5384,3,19,37,46,NA,NA,NA
"5485",5385,40,NA,NA,NA,NA,NA,NA
"5486",5386,3,6,24,48,NA,NA,NA
"5487",5387,12,31,36,48,NA,NA,NA
"5488",5388,9,24,39,NA,NA,NA,NA
"5489",5389,9,17,37,NA,NA,NA,NA
"5490",5390,14,44,NA,NA,NA,NA,NA
"5491",5391,7,9,11,37,NA,NA,NA
"5492",5392,2,8,18,30,37,47,NA
"5493",5393,9,35,41,48,NA,NA,NA
"5494",5394,23,25,49,NA,NA,NA,NA
"5495",5395,29,NA,NA,NA,NA,NA,NA
"5496",5396,22,40,NA,NA,NA,NA,NA
"5497",5397,7,19,31,32,NA,NA,NA
"5498",5398,33,NA,NA,NA,NA,NA,NA
"5499",5399,1,16,19,NA,NA,NA,NA
"5500",5400,23,24,40,41,43,NA,NA
"5501",5401,3,7,18,35,NA,NA,NA
"5502",5402,23,24,40,41,43,NA,NA
"5503",5403,33,42,44,NA,NA,NA,NA
"5504",5404,17,29,47,NA,NA,NA,NA
"5505",5405,17,29,47,NA,NA,NA,NA
"5506",5406,3,18,35,NA,NA,NA,NA
"5507",5407,12,31,NA,NA,NA,NA,NA
"5508",5408,5,38,40,NA,NA,NA,NA
"5509",5409,9,34,49,NA,NA,NA,NA
"5510",5410,0,2,46,NA,NA,NA,NA
"5511",5411,7,10,19,22,48,NA,NA
"5512",5412,22,26,31,NA,NA,NA,NA
"5513",5413,20,21,25,26,38,43,NA
"5514",5414,23,24,40,41,43,NA,NA
"5515",5415,0,33,42,NA,NA,NA,NA
"5516",5416,27,28,NA,NA,NA,NA,NA
"5517",5417,14,15,19,27,29,42,43
"5518",48,NA,NA,NA,NA,NA,NA,NA
"5519",5418,2,5,13,28,32,38,40
"5520",44,NA,NA,NA,NA,NA,NA,NA
"5521",5419,10,13,31,32,40,NA,NA
"5522",5420,8,27,28,31,34,NA,NA
"5523",5421,0,11,16,46,NA,NA,NA
"5524",5422,16,32,NA,NA,NA,NA,NA
"5525",5423,1,19,23,NA,NA,NA,NA
"5526",5424,11,23,25,44,47,NA,NA
"5527",5425,12,15,29,33,NA,NA,NA
"5528",5426,16,30,37,44,NA,NA,NA
"5529",5427,9,27,40,NA,NA,NA,NA
"5530",5428,5,15,22,23,38,41,NA
"5531",5429,10,20,35,43,NA,NA,NA
"5532",5430,27,28,NA,NA,NA,NA,NA
"5533",5431,10,16,18,40,NA,NA,NA
"5534",5432,0,2,46,NA,NA,NA,NA
"5535",5433,1,16,25,30,NA,NA,NA
"5536",5434,1,26,39,NA,NA,NA,NA
"5537",5435,24,26,29,NA,NA,NA,NA
"5538",5436,1,19,NA,NA,NA,NA,NA
"5539",5437,23,24,40,41,43,NA,NA
"5540",5438,7,11,37,45,NA,NA,NA
"5541",5439,5,6,22,30,NA,NA,NA
"5542",5440,3,18,35,NA,NA,NA,NA
"5543",5441,40,47,NA,NA,NA,NA,NA
"5544",5442,12,14,44,NA,NA,NA,NA
"5545",5443,7,9,12,NA,NA,NA,NA
"5546",5444,17,29,47,NA,NA,NA,NA
"5547",5445,8,33,42,NA,NA,NA,NA
"5548",5446,33,41,43,NA,NA,NA,NA
"5549",5447,4,9,37,NA,NA,NA,NA
"5550",5448,26,NA,NA,NA,NA,NA,NA
"5551",5449,20,25,48,NA,NA,NA,NA
"5552",5450,5,22,NA,NA,NA,NA,NA
"5553",5451,23,24,40,41,NA,NA,NA
"5554",5452,8,23,25,40,NA,NA,NA
"5555",5453,28,41,NA,NA,NA,NA,NA
"5556",5454,21,24,26,NA,NA,NA,NA
"5557",5455,4,9,NA,NA,NA,NA,NA
"5558",5456,27,28,31,NA,NA,NA,NA
"5559",5457,7,30,41,46,NA,NA,NA
"5560",5458,0,34,46,NA,NA,NA,NA
"5561",5459,7,11,37,45,NA,NA,NA
"5562",5460,5,21,NA,NA,NA,NA,NA
"5563",5461,1,19,20,43,NA,NA,NA
"5564",5462,2,7,14,30,35,45,NA
"5565",5463,2,47,NA,NA,NA,NA,NA
"5566",5464,4,9,NA,NA,NA,NA,NA
"5567",5465,5,10,22,NA,NA,NA,NA
