"","V1","V2","V3","V4","V5"
"7637",6299,5,22,40,43
"7638",6300,9,11,18,39
"7639",43,44,46,NA,NA
"7640",6301,3,5,18,35
"7641",6302,15,16,23,32
"7642",47,NA,NA,NA,NA
"7643",6303,3,18,35,46
"7644",47,NA,NA,NA,NA
"7645",6304,43,46,NA,NA
"7646",6305,0,2,15,46
"7647",6306,1,13,19,33
"7648",42,NA,NA,NA,NA
"7649",6307,8,19,44,45
"7650",6308,38,45,NA,NA
"7651",6309,17,26,40,NA
"7652",6310,16,23,32,45
"7653",6311,33,42,NA,NA
"7654",6312,11,23,31,39
"7655",41,NA,NA,NA,NA
"7656",6313,1,19,NA,NA
"7657",6314,3,14,19,23
"7658",25,36,44,NA,NA
"7659",6315,2,11,12,26
"7660",28,NA,NA,NA,NA
"7661",6316,16,32,45,NA
"7662",6317,12,31,36,39
"7663",6318,24,NA,NA,NA
"7664",6319,5,22,NA,NA
"7665",6320,4,11,14,16
"7666",36,44,NA,NA,NA
"7667",6321,7,15,NA,NA
"7668",6322,7,15,NA,NA
"7669",6323,16,32,45,48
"7670",6324,16,32,45,NA
"7671",6325,6,25,26,38
"7672",48,49,NA,NA,NA
"7673",6326,1,3,5,13
"7674",17,19,28,30,NA
"7675",6327,43,45,NA,NA
"7676",6328,36,46,NA,NA
"7677",6329,1,32,NA,NA
"7678",6330,5,19,22,NA
"7679",6331,1,5,16,17
"7680",25,27,28,36,NA
"7681",6332,14,29,31,34
"7682",36,37,38,48,NA
"7683",6333,17,29,47,NA
"7684",6334,16,22,23,28
"7685",32,39,NA,NA,NA
"7686",6335,27,28,42,NA
"7687",6336,18,35,NA,NA
"7688",6337,7,11,37,45
"7689",6338,4,9,40,44
"7690",6339,11,14,31,48
"7691",6340,0,2,6,46
"7692",6341,7,14,20,27
"7693",38,41,42,48,NA
"7694",6342,22,31,38,45
"7695",6343,2,29,47,48
"7696",6344,1,6,15,25
"7697",39,NA,NA,NA,NA
"7698",6345,16,32,45,NA
"7699",6346,16,25,27,NA
"7700",6347,1,30,40,NA
"7701",6348,12,44,47,NA
"7702",6349,12,31,36,NA
"7703",6350,3,6,21,46
"7704",6351,7,26,28,43
"7705",6352,16,25,28,46
"7706",48,NA,NA,NA,NA
"7707",6353,23,24,40,41
"7708",43,NA,NA,NA,NA
"7709",6354,27,28,NA,NA
"7710",6355,16,32,45,NA
"7711",6356,5,16,33,NA
"7712",6357,2,20,28,43
"7713",6358,28,45,NA,NA
"7714",6359,3,18,35,46
"7715",6360,1,19,26,33
"7716",36,NA,NA,NA,NA
"7717",6361,23,24,NA,NA
"7718",6362,36,NA,NA,NA
"7719",6363,1,19,31,NA
"7720",6364,12,31,36,48
"7721",6365,17,34,40,41
"7722",6366,10,35,43,NA
"7723",6367,23,24,40,41
"7724",43,NA,NA,NA,NA
"7725",6368,1,27,35,NA
"7726",6369,13,23,24,40
"7727",41,NA,NA,NA,NA
"7728",6370,4,17,29,47
"7729",6371,7,15,49,NA
"7730",6372,3,20,32,34
"7731",6373,17,25,27,35
"7732",6374,23,24,40,41
"7733",43,NA,NA,NA,NA
"7734",6375,30,48,NA,NA
"7735",6376,4,9,18,30
"7736",6377,5,16,18,22
"7737",6378,31,33,38,41
"7738",6379,5,22,NA,NA
"7739",6380,4,9,NA,NA
"7740",6381,33,42,NA,NA
"7741",6382,27,28,43,NA
"7742",6383,27,28,NA,NA
"7743",6384,23,24,40,41
"7744",43,NA,NA,NA,NA
"7745",6385,6,20,30,NA
"7746",6386,2,7,44,NA
"7747",6387,0,2,11,34
"7748",46,NA,NA,NA,NA
"7749",6388,19,40,NA,NA
"7750",6389,0,22,24,NA
"7751",6390,45,47,NA,NA
"7752",6391,14,16,38,46
"7753",6392,40,NA,NA,NA
"7754",6393,4,9,18,30
"7755",6394,16,20,28,33
"7756",6395,1,19,48,NA
"7757",6396,2,10,23,31
"7758",32,48,NA,NA,NA
"7759",6397,3,7,28,42
"7760",6398,15,40,41,NA
"7761",6399,0,13,46,NA
"7762",6400,1,2,19,20
"7763",25,33,38,42,NA
"7764",6401,27,28,46,NA
"7765",6402,1,6,10,19
"7766",6403,20,30,NA,NA
"7767",6404,2,3,4,18
"7768",29,35,NA,NA,NA
"7769",6405,6,23,47,NA
"7770",6406,16,26,32,45
"7771",6407,3,18,35,NA
"7772",6408,14,34,44,NA
"7773",6409,1,12,26,NA
"7774",6410,6,7,9,16
"7775",32,33,45,NA,NA
"7776",6411,4,9,11,20
"7777",40,NA,NA,NA,NA
"7778",6412,7,15,49,NA
"7779",6413,4,37,NA,NA
"7780",6414,3,31,42,45
"7781",6415,3,13,42,NA
"7782",6416,5,9,22,NA
"7783",6417,1,19,34,NA
"7784",6418,7,11,32,37
"7785",45,NA,NA,NA,NA
"7786",6419,4,23,40,NA
"7787",6420,7,11,37,45
"7788",6421,12,31,36,48
"7789",6422,3,18,35,48
"7790",49,NA,NA,NA,NA
"7791",6423,4,6,9,NA
"7792",6424,5,17,29,47
"7793",6425,5,17,NA,NA
"7794",6426,11,15,19,25
"7795",35,37,NA,NA,NA
"7796",6427,1,19,30,NA
"7797",6428,5,NA,NA,NA
"7798",6429,2,10,16,25
"7799",26,48,NA,NA,NA
"7800",6430,7,11,15,21
"7801",37,43,45,NA,NA
"7802",6431,12,31,32,36
"7803",6432,5,22,26,33
"7804",6433,7,NA,NA,NA
"7805",6434,33,42,NA,NA
"7806",6435,23,31,45,NA
"7807",6436,9,NA,NA,NA
"7808",6437,16,27,28,NA
"7809",6438,25,47,NA,NA
"7810",6439,1,3,8,22
"7811",23,49,NA,NA,NA
"7812",6440,7,11,37,NA
"7813",6441,12,31,36,48
"7814",6442,8,12,31,36
"7815",46,48,NA,NA,NA
"7816",6443,22,27,47,NA
"7817",6444,5,16,19,32
"7818",36,45,NA,NA,NA
"7819",6445,7,8,11,37
"7820",45,NA,NA,NA,NA
"7821",6446,12,31,36,48
"7822",6447,11,15,16,27
"7823",32,45,NA,NA,NA
"7824",6448,17,22,26,29
"7825",39,41,46,47,NA
"7826",6449,8,16,38,NA
"7827",6450,17,29,47,NA
"7828",6451,7,15,47,NA
"7829",6452,14,38,43,NA
"7830",6453,5,8,28,40
"7831",6454,13,14,39,44
"7832",47,NA,NA,NA,NA
"7833",6455,8,25,42,NA
"7834",6456,13,25,27,28
"7835",6457,2,5,7,18
"7836",22,37,48,NA,NA
"7837",6458,17,29,47,NA
"7838",6459,4,9,NA,NA
"7839",6460,14,21,32,36
"7840",44,NA,NA,NA,NA
"7841",6461,0,8,NA,NA
"7842",6462,4,8,9,14
"7843",6463,1,38,NA,NA
"7844",6464,0,1,16,32
"7845",45,NA,NA,NA,NA
"7846",6465,17,29,47,NA
"7847",6466,3,18,27,35
"7848",6467,16,18,21,34
"7849",6468,4,8,31,42
"7850",47,NA,NA,NA,NA
"7851",6469,17,29,47,NA
"7852",6470,6,16,42,NA
"7853",6471,4,9,20,49
"7854",6472,17,37,44,NA
"7855",6473,15,42,NA,NA
"7856",6474,0,2,28,46
"7857",49,NA,NA,NA,NA
"7858",6475,30,38,NA,NA
"7859",6476,12,31,36,48
"7860",6477,0,6,25,29
"7861",45,46,NA,NA,NA
"7862",6478,0,2,40,46
"7863",6479,16,32,45,NA
"7864",6480,9,27,45,46
"7865",6481,5,38,NA,NA
"7866",6482,10,15,22,25
"7867",27,40,NA,NA,NA
"7868",6483,1,4,39,NA
"7869",6484,0,16,18,31
"7870",6485,13,27,28,43
"7871",6486,3,18,35,41
"7872",6487,2,3,8,18
"7873",24,35,NA,NA,NA
"7874",6488,33,35,44,48
"7875",6489,4,12,19,31
"7876",6490,22,41,NA,NA
"7877",6491,13,17,29,47
"7878",6492,4,8,27,37
"7879",46,NA,NA,NA,NA
"7880",6493,3,18,35,NA
"7881",6494,10,12,27,31
"7882",36,41,45,48,NA
"7883",6495,17,19,41,NA
"7884",6496,15,22,39,NA
"7885",6497,14,44,NA,NA
"7886",6498,4,22,33,NA
"7887",6499,0,2,46,NA
"7888",6500,3,18,35,NA
"7889",6501,9,27,41,NA
"7890",6502,7,10,12,28
"7891",42,NA,NA,NA,NA
"7892",6503,33,42,43,NA
"7893",6504,5,22,NA,NA
"7894",6505,27,28,NA,NA
"7895",6506,3,29,33,42
"7896",6507,7,11,37,45
"7897",6508,8,11,33,43
"7898",6509,5,22,34,NA
"7899",6510,0,2,46,NA
"7900",6511,6,31,33,39
"7901",42,NA,NA,NA,NA
"7902",6512,4,9,NA,NA
"7903",6513,15,24,26,NA
"7904",6514,25,39,NA,NA
"7905",6515,15,26,44,47
"7906",6516,21,40,44,NA
"7907",6517,14,20,44,49
"7908",6518,2,7,26,40
"7909",47,NA,NA,NA,NA
"7910",6519,0,1,14,31
"7911",42,44,NA,NA,NA
"7912",6520,8,20,21,28
"7913",33,NA,NA,NA,NA
"7914",6521,42,NA,NA,NA
"7915",6522,4,9,47,NA
"7916",6523,15,16,23,32
"7917",45,NA,NA,NA,NA
"7918",6524,36,42,NA,NA
"7919",6525,3,11,18,30
"7920",35,39,NA,NA,NA
"7921",6526,40,48,NA,NA
"7922",6527,13,21,25,40
"7923",49,NA,NA,NA,NA
"7924",6528,16,32,45,NA
"7925",6529,8,18,28,40
"7926",6530,1,5,19,NA
"7927",6531,3,16,17,18
"7928",35,NA,NA,NA,NA
"7929",6532,7,11,37,45
"7930",6533,3,7,18,35
"7931",6534,4,9,14,NA
"7932",6535,13,32,37,39
"7933",45,NA,NA,NA,NA
"7934",6536,47,NA,NA,NA
"7935",6537,0,30,45,NA
"7936",6538,27,29,43,45
"7937",6539,3,18,35,NA
"7938",6540,14,15,23,39
"7939",41,NA,NA,NA,NA
"7940",6541,33,42,NA,NA
"7941",6542,7,11,37,45
"7942",6543,16,32,45,NA
"7943",6544,7,11,37,NA
"7944",6545,5,16,20,21
"7945",22,NA,NA,NA,NA
"7946",6546,2,6,10,11
"7947",14,23,35,44,NA
"7948",6547,1,19,26,39
"7949",44,45,48,NA,NA
"7950",6548,3,18,35,NA
"7951",6549,14,16,34,44
"7952",6550,17,29,47,NA
"7953",6551,18,32,35,NA
"7954",6552,27,28,48,NA
"7955",6553,21,22,35,39
"7956",46,NA,NA,NA,NA
"7957",6554,3,10,18,19
"7958",22,35,38,NA,NA
"7959",6555,27,28,49,NA
"7960",6556,21,28,NA,NA
"7961",6557,7,15,49,NA
"7962",6558,5,22,NA,NA
"7963",6559,8,21,31,32
"7964",35,NA,NA,NA,NA
"7965",6560,18,41,46,NA
"7966",6561,16,32,45,NA
"7967",6562,11,16,18,19
"7968",32,33,47,NA,NA
"7969",6563,7,15,49,NA
"7970",6564,12,13,32,NA
"7971",6565,5,27,28,NA
"7972",6566,0,3,18,31
"7973",35,43,NA,NA,NA
"7974",6567,16,21,49,NA
"7975",6568,7,11,37,45
"7976",6569,10,12,13,22
"7977",37,40,45,49,NA
"7978",6570,7,19,38,NA
"7979",6571,6,NA,NA,NA
"7980",6572,10,21,34,NA
"7981",6573,10,15,NA,NA
"7982",6574,7,14,22,NA
"7983",6575,4,9,36,40
"7984",42,NA,NA,NA,NA
"7985",6576,0,2,46,NA
"7986",6577,16,32,45,NA
"7987",6578,23,33,45,NA
"7988",6579,17,18,20,23
"7989",26,29,46,47,NA
"7990",6580,7,11,37,45
"7991",6581,10,32,NA,NA
"7992",6582,17,22,29,47
"7993",6583,7,11,37,45
"7994",6584,26,28,38,NA
"7995",6585,27,28,39,NA
"7996",6586,8,27,NA,NA
"7997",6587,4,25,29,NA
"7998",6588,5,22,39,NA
"7999",6589,8,14,16,29
"8000",33,44,NA,NA,NA
"8001",6590,4,9,18,29
"8002",6591,5,22,NA,NA
"8003",6592,13,17,34,35
"8004",41,NA,NA,NA,NA
"8005",6593,4,33,35,NA
"8006",6594,9,12,13,20
"8007",35,NA,NA,NA,NA
"8008",6595,33,37,42,NA
"8009",6596,1,2,19,NA
"8010",6597,7,28,30,NA
"8011",6598,4,9,NA,NA
"8012",6599,1,13,19,NA
"8013",6600,7,11,14,37
"8014",6601,14,30,43,44
"8015",6602,7,11,37,45
"8016",6603,34,NA,NA,NA
"8017",6604,26,36,49,NA
"8018",6605,7,11,37,40
"8019",45,46,NA,NA,NA
"8020",6606,32,NA,NA,NA
"8021",6607,4,9,NA,NA
"8022",6608,7,11,37,45
"8023",6609,14,16,43,47
"8024",6610,29,40,NA,NA
"8025",6611,37,NA,NA,NA
"8026",6612,5,8,15,20
"8027",22,29,NA,NA,NA
"8028",6613,15,43,NA,NA
"8029",6614,17,34,43,49
"8030",6615,5,12,22,NA
"8031",6616,0,1,2,14
"8032",46,49,NA,NA,NA
"8033",6617,48,NA,NA,NA
"8034",6618,16,32,NA,NA
"8035",6619,17,39,40,NA
"8036",6620,22,24,NA,NA
"8037",6621,4,18,44,NA
"8038",6622,3,18,35,NA
"8039",6623,3,6,8,17
"8040",19,22,24,NA,NA
"8041",6624,4,9,NA,NA
"8042",6625,39,42,NA,NA
"8043",6626,3,18,35,NA
"8044",6627,7,NA,NA,NA
"8045",6628,16,40,NA,NA
"8046",6629,1,2,5,9
"8047",14,22,42,48,NA
"8048",6630,2,9,13,24
"8049",29,31,36,40,NA
"8050",6631,5,27,28,35
"8051",43,NA,NA,NA,NA
"8052",6632,4,9,34,NA
"8053",6633,3,7,15,34
"8054",6634,5,9,21,26
"8055",29,31,36,44,NA
"8056",6635,31,39,NA,NA
"8057",6636,10,38,NA,NA
"8058",6637,4,17,30,47
"8059",6638,41,NA,NA,NA
"8060",6639,21,37,NA,NA
"8061",6640,17,29,47,NA
"8062",6641,16,19,20,32
"8063",6642,19,22,33,43
"8064",6643,3,18,35,NA
"8065",6644,33,42,NA,NA
"8066",6645,0,2,6,46
"8067",6646,0,5,16,32
"8068",45,NA,NA,NA,NA
"8069",6647,10,30,NA,NA
"8070",6648,5,6,22,NA
"8071",6649,7,30,44,NA
"8072",6650,6,32,33,42
"8073",6651,2,27,28,NA
"8074",6652,2,4,14,20
"8075",24,27,28,49,NA
"8076",6653,23,24,40,41
"8077",43,NA,NA,NA,NA
"8078",6654,4,13,NA,NA
"8079",6655,17,29,47,NA
"8080",6656,7,14,16,17
"8081",29,30,44,48,NA
"8082",6657,0,16,22,27
"8083",28,40,NA,NA,NA
"8084",6658,2,3,6,12
"8085",18,35,49,NA,NA
"8086",6659,7,11,37,45
"8087",6660,14,17,44,NA
"8088",6661,12,15,34,35
"8089",6662,14,25,28,NA
"8090",6663,33,42,NA,NA
"8091",6664,1,19,38,39
"8092",6665,18,35,NA,NA
"8093",6666,23,24,40,41
"8094",6667,16,17,32,45
"8095",6668,17,29,47,NA
"8096",6669,4,25,30,39
"8097",41,NA,NA,NA,NA
"8098",6670,12,31,36,48
"8099",6671,0,9,15,NA
"8100",6672,33,42,NA,NA
"8101",6673,16,32,45,NA
"8102",6674,7,11,37,45
"8103",6675,3,7,15,NA
"8104",6676,27,28,37,46
"8105",6677,1,24,31,NA
"8106",6678,3,18,35,NA
"8107",6679,14,35,40,NA
"8108",6680,5,22,NA,NA
"8109",6681,1,19,27,NA
"8110",6682,4,8,9,19
"8111",39,NA,NA,NA,NA
"8112",6683,5,22,28,32
"8113",6684,14,16,18,29
"8114",32,39,44,NA,NA
"8115",6685,13,15,27,28
"8116",32,NA,NA,NA,NA
"8117",6686,7,11,37,45
"8118",6687,33,42,NA,NA
"8119",6688,14,35,44,NA
"8120",6689,16,29,32,39
"8121",45,NA,NA,NA,NA
"8122",6690,2,15,27,28
"8123",32,46,NA,NA,NA
"8124",6691,9,11,NA,NA
"8125",6692,14,44,NA,NA
"8126",6693,2,9,27,NA
"8127",6694,14,18,34,NA
"8128",6695,5,12,32,35
"8129",6696,7,11,29,37
"8130",6697,3,18,35,NA
"8131",6698,16,32,45,NA
"8132",6699,27,28,NA,NA
"8133",6700,18,43,NA,NA
"8134",6701,19,27,28,NA
"8135",6702,21,33,NA,NA
"8136",6703,3,5,19,22
"8137",6704,1,40,NA,NA
"8138",6705,0,25,46,NA
"8139",6706,3,18,35,NA
"8140",6707,10,33,42,NA
"8141",6708,18,27,28,34
"8142",42,NA,NA,NA,NA
"8143",6709,1,10,27,28
"8144",6710,15,33,46,NA
"8145",6711,16,32,45,NA
"8146",6712,41,42,NA,NA
"8147",6713,27,31,46,NA
"8148",6714,4,9,48,49
"8149",6715,0,2,46,NA
"8150",6716,3,18,35,NA
"8151",6717,5,16,35,NA
"8152",6718,33,42,NA,NA
"8153",6719,4,9,25,NA
"8154",6720,0,3,12,27
"8155",32,39,NA,NA,NA
"8156",6721,14,27,28,31
"8157",42,NA,NA,NA,NA
"8158",6722,16,17,21,28
"8159",30,33,37,47,NA
"8160",6723,1,3,18,NA
"8161",6724,17,18,23,31
"8162",45,NA,NA,NA,NA
"8163",6725,0,11,27,NA
"8164",6726,1,18,47,NA
"8165",6727,0,2,46,NA
"8166",6728,27,28,NA,NA
"8167",6729,23,24,40,41
"8168",43,NA,NA,NA,NA
"8169",6730,33,42,NA,NA
"8170",6731,23,24,40,41
"8171",43,NA,NA,NA,NA
"8172",6732,1,19,44,NA
"8173",6733,0,2,45,46
"8174",6734,1,16,32,NA
"8175",6735,5,22,NA,NA
"8176",6736,5,22,42,NA
"8177",6737,3,5,22,NA
"8178",6738,0,2,46,NA
"8179",6739,7,15,49,NA
"8180",6740,7,11,37,44
"8181",6741,1,NA,NA,NA
"8182",6742,27,28,NA,NA
"8183",6743,0,20,31,39
"8184",6744,4,25,NA,NA
"8185",6745,0,2,46,NA
"8186",6746,14,21,37,39
"8187",42,43,NA,NA,NA
"8188",6747,5,10,22,46
"8189",6748,5,22,NA,NA
"8190",6749,3,18,35,NA
"8191",6750,4,6,9,10
"8192",18,26,41,47,NA
"8193",6751,3,18,35,NA
"8194",6752,0,2,3,46
"8195",47,NA,NA,NA,NA
"8196",6753,29,42,NA,NA
"8197",6754,1,19,NA,NA
"8198",6755,7,9,12,22
"8199",25,34,NA,NA,NA
"8200",6756,20,47,NA,NA
"8201",6757,2,NA,NA,NA
"8202",6758,12,26,29,41
"8203",6759,0,7,15,NA
"8204",6760,3,8,10,42
"8205",6761,10,27,30,NA
"8206",6762,16,32,45,NA
"8207",6763,7,11,37,45
"8208",6764,23,29,NA,NA
"8209",6765,15,21,24,39
"8210",6766,9,12,16,27
"8211",28,34,41,NA,NA
"8212",6767,7,10,45,NA
"8213",6768,4,28,32,NA
"8214",6769,2,5,10,17
"8215",42,NA,NA,NA,NA
"8216",6770,2,9,16,43
"8217",46,NA,NA,NA,NA
"8218",6771,0,1,4,9
"8219",6772,16,32,45,NA
"8220",6773,14,28,45,NA
"8221",6774,3,18,35,36
"8222",6775,3,4,18,25
"8223",45,NA,NA,NA,NA
"8224",6776,0,14,18,44
"8225",6777,16,32,40,45
"8226",49,NA,NA,NA,NA
"8227",6778,8,12,31,37
"8228",6779,0,24,NA,NA
"8229",6780,12,31,36,48
"8230",6781,12,31,36,48
"8231",6782,37,39,NA,NA
"8232",6783,0,14,21,42
"8233",44,NA,NA,NA,NA
"8234",6784,5,16,22,25
"8235",6785,10,12,24,38
"8236",41,43,NA,NA,NA
"8237",6786,7,13,37,NA
"8238",6787,6,11,12,15
"8239",29,30,49,NA,NA
"8240",6788,4,21,26,29
"8241",6789,28,40,48,NA
"8242",6790,4,17,23,NA
"8243",6791,16,32,NA,NA
"8244",6792,27,28,31,NA
"8245",6793,28,34,NA,NA
"8246",6794,27,28,NA,NA
"8247",6795,7,42,NA,NA
"8248",6796,2,3,11,20
"8249",39,40,NA,NA,NA
"8250",6797,0,4,13,14
"8251",30,NA,NA,NA,NA
"8252",6798,1,NA,NA,NA
"8253",6799,39,NA,NA,NA
"8254",6800,12,27,28,NA
"8255",6801,12,14,43,NA
"8256",6802,27,28,35,48
"8257",6803,1,11,31,32
"8258",38,NA,NA,NA,NA
"8259",6804,5,10,30,32
"8260",6805,3,18,35,NA
"8261",6806,16,32,45,NA
"8262",6807,5,22,35,NA
"8263",6808,2,35,40,NA
"8264",6809,17,27,28,35
"8265",6810,23,24,40,41
"8266",43,NA,NA,NA,NA
"8267",6811,16,32,NA,NA
"8268",6812,12,31,36,48
"8269",6813,23,24,40,41
"8270",43,NA,NA,NA,NA
"8271",6814,4,5,41,NA
"8272",6815,0,2,46,NA
"8273",6816,16,17,25,32
"8274",6817,20,NA,NA,NA
"8275",6818,1,17,NA,NA
"8276",6819,12,14,34,NA
"8277",6820,33,42,NA,NA
"8278",6821,23,24,40,41
"8279",43,NA,NA,NA,NA
"8280",6822,4,7,9,28
"8281",43,NA,NA,NA,NA
"8282",6823,3,14,NA,NA
"8283",6824,1,6,9,45
"8284",6825,17,29,47,NA
"8285",6826,5,10,11,22
"8286",6827,12,13,31,32
"8287",36,48,NA,NA,NA
"8288",6828,30,33,42,NA
"8289",6829,27,49,NA,NA
"8290",6830,4,12,36,NA
"8291",6831,7,15,49,NA
"8292",6832,17,35,41,NA
"8293",6833,7,11,30,37
"8294",6834,5,14,28,NA
"8295",6835,5,22,NA,NA
"8296",6836,5,17,29,33
"8297",39,47,NA,NA,NA
"8298",6837,14,22,41,NA
"8299",6838,7,11,37,45
"8300",6839,6,25,35,NA
"8301",6840,6,14,17,21
"8302",44,47,49,NA,NA
"8303",6841,1,19,NA,NA
"8304",6842,8,27,28,NA
"8305",6843,1,6,10,41
"8306",48,NA,NA,NA,NA
"8307",6844,14,36,NA,NA
"8308",6845,3,18,35,NA
"8309",6846,16,22,32,NA
"8310",6847,12,31,36,48
"8311",6848,23,24,40,41
"8312",43,NA,NA,NA,NA
"8313",6849,31,33,35,NA
"8314",6850,0,15,20,29
"8315",6851,14,16,28,NA
"8316",6852,0,2,46,NA
"8317",6853,7,11,28,34
"8318",37,45,NA,NA,NA
"8319",6854,5,14,28,40
"8320",44,NA,NA,NA,NA
"8321",6855,8,19,26,33
"8322",34,42,NA,NA,NA
"8323",6856,4,6,9,15
"8324",43,48,NA,NA,NA
"8325",6857,27,28,30,NA
"8326",6858,3,27,28,NA
"8327",6859,12,NA,NA,NA
"8328",6860,0,3,9,36
"8329",6861,15,25,30,41
"8330",6862,23,24,25,40
"8331",49,NA,NA,NA,NA
"8332",6863,13,42,47,NA
"8333",6864,18,35,NA,NA
"8334",6865,3,8,15,22
"8335",47,NA,NA,NA,NA
"8336",6866,12,36,NA,NA
"8337",6867,4,8,9,34
"8338",47,48,NA,NA,NA
"8339",6868,7,8,15,17
"8340",43,NA,NA,NA,NA
"8341",6869,12,15,35,NA
"8342",6870,4,8,14,25
"8343",34,44,48,NA,NA
"8344",6871,0,1,2,6
"8345",19,38,46,47,NA
"8346",6872,23,26,34,NA
"8347",6873,1,NA,NA,NA
"8348",6874,15,28,45,NA
"8349",6875,3,15,22,24
"8350",6876,3,45,NA,NA
"8351",6877,4,7,13,15
"8352",6878,9,14,19,NA
"8353",6879,19,37,NA,NA
"8354",6880,12,NA,NA,NA
"8355",6881,2,5,22,NA
"8356",6882,23,24,40,41
"8357",43,NA,NA,NA,NA
"8358",6883,19,35,48,NA
"8359",6884,2,13,15,38
"8360",42,43,NA,NA,NA
"8361",6885,0,5,7,11
"8362",34,37,45,NA,NA
"8363",6886,2,11,40,NA
"8364",6887,17,29,47,NA
"8365",6888,23,24,40,41
"8366",43,NA,NA,NA,NA
"8367",6889,27,28,43,NA
"8368",6890,16,NA,NA,NA
"8369",6891,6,22,27,28
"8370",31,34,38,NA,NA
"8371",6892,3,16,32,45
"8372",6893,2,28,37,40
"8373",46,47,NA,NA,NA
"8374",6894,17,20,47,NA
"8375",6895,26,27,28,NA
"8376",6896,0,36,38,NA
"8377",6897,27,NA,NA,NA
"8378",6898,36,38,NA,NA
"8379",6899,16,31,33,NA
"8380",6900,14,28,48,NA
"8381",6901,9,22,31,45
"8382",6902,8,17,42,NA
"8383",6903,3,18,34,35
"8384",6904,21,41,NA,NA
"8385",6905,12,31,36,48
"8386",6906,22,28,34,NA
"8387",6907,7,30,39,NA
"8388",6908,1,2,14,19
"8389",41,NA,NA,NA,NA
"8390",6909,3,36,43,46
"8391",6910,8,12,18,19
"8392",36,NA,NA,NA,NA
"8393",6911,36,40,NA,NA
"8394",6912,4,12,14,15
"8395",19,21,28,38,NA
"8396",6913,23,24,40,41
"8397",6914,16,22,27,33
"8398",42,NA,NA,NA,NA
"8399",6915,1,19,NA,NA
"8400",6916,0,2,36,46
"8401",6917,16,17,23,27
"8402",32,45,NA,NA,NA
"8403",6918,14,19,24,NA
"8404",6919,11,42,NA,NA
"8405",6920,23,NA,NA,NA
"8406",6921,7,8,17,27
"8407",42,47,NA,NA,NA
"8408",6922,5,22,33,35
"8409",42,49,NA,NA,NA
"8410",6923,14,15,44,NA
"8411",6924,4,20,27,NA
"8412",6925,1,16,22,32
"8413",6926,14,23,33,42
"8414",47,NA,NA,NA,NA
"8415",6927,19,25,37,NA
"8416",6928,0,2,46,NA
"8417",6929,23,24,40,41
"8418",43,NA,NA,NA,NA
"8419",6930,16,32,45,NA
"8420",6931,6,17,22,27
"8421",28,30,32,37,NA
"8422",6932,7,11,13,36
"8423",6933,3,22,37,NA
"8424",6934,7,8,11,17
"8425",22,30,37,45,NA
"8426",6935,39,NA,NA,NA
"8427",6936,14,44,45,NA
"8428",6937,38,46,49,NA
"8429",6938,4,21,NA,NA
"8430",6939,0,5,22,30
"8431",6940,7,15,20,23
"8432",30,32,48,49,NA
"8433",6941,11,28,29,43
"8434",6942,1,19,NA,NA
"8435",6943,17,29,47,NA
"8436",6944,3,5,30,33
"8437",38,42,NA,NA,NA
"8438",6945,3,18,35,NA
"8439",6946,5,21,49,NA
"8440",6947,7,15,49,NA
"8441",6948,24,42,NA,NA
"8442",6949,5,22,NA,NA
"8443",6950,3,13,18,22
"8444",27,34,35,NA,NA
"8445",6951,27,28,NA,NA
"8446",6952,14,44,NA,NA
"8447",6953,27,28,NA,NA
"8448",6954,0,2,46,NA
"8449",6955,16,32,45,NA
"8450",6956,1,19,NA,NA
"8451",6957,24,36,38,42
"8452",6958,11,31,NA,NA
"8453",6959,0,2,46,NA
"8454",6960,21,34,NA,NA
"8455",6961,12,31,33,42
"8456",6962,23,24,40,41
"8457",43,NA,NA,NA,NA
"8458",6963,4,22,38,NA
"8459",6964,5,22,NA,NA
"8460",6965,16,32,45,NA
"8461",6966,1,NA,NA,NA
"8462",6967,16,18,32,45
"8463",6968,36,NA,NA,NA
"8464",6969,4,14,15,20
"8465",36,NA,NA,NA,NA
"8466",6970,5,22,23,NA
"8467",6971,0,2,11,46
"8468",6972,0,46,NA,NA
"8469",6973,0,3,7,15
"8470",19,23,31,NA,NA
"8471",6974,0,46,NA,NA
"8472",6975,3,32,43,NA
"8473",6976,12,13,31,35
"8474",36,42,47,48,NA
"8475",6977,4,17,NA,NA
"8476",6978,23,24,30,39
"8477",40,41,NA,NA,NA
"8478",6979,4,14,NA,NA
"8479",6980,14,44,NA,NA
"8480",6981,27,28,34,NA
"8481",6982,13,14,26,35
"8482",44,NA,NA,NA,NA
"8483",6983,24,33,42,NA
"8484",6984,3,18,35,NA
"8485",6985,7,27,46,NA
"8486",6986,1,19,NA,NA
"8487",6987,16,32,39,45
"8488",6988,33,35,42,NA
"8489",6989,5,24,30,37
"8490",6990,22,29,49,NA
"8491",6991,5,22,NA,NA
"8492",6992,1,35,40,43
"8493",47,NA,NA,NA,NA
"8494",6993,5,22,NA,NA
"8495",6994,23,24,40,41
"8496",6995,12,15,20,25
"8497",26,41,49,NA,NA
"8498",6996,10,14,44,NA
"8499",6997,1,12,45,NA
"8500",6998,2,33,42,44
"8501",6999,12,31,36,NA
"8502",7000,10,16,32,33
"8503",7001,9,18,21,30
"8504",35,NA,NA,NA,NA
"8505",7002,19,28,36,NA
"8506",7003,36,NA,NA,NA
